,addressmerged
31325,Wendenstraße+48+38100+Braunschweig+germany
31326,Hainsberger+Straße+14+01705+Sächsische+Schweiz+Osterzgebirge+germany
31327,Körtingsdorf+15+30455+Hannover+germany
31328,Tulpenweg+1+09429+Erzgebirgskreis+germany
31329,Am+Bergpark+8a+15537+Oder+Spree+germany
31330,Thomasiusstraße+17+04109+Leipzig+germany
31331,Trierer+Strasse+57+53115+Bonn+germany
31332,Herzogin-Clara-Str.+2+38442+Wolfsburg+germany
31333,Haart+64+24534+Neumünster+germany
31334,Schillerstraße+18+06749+Anhalt+Bitterfeld+germany
31335,Urbeckerstraße+15a+58675+Märkischer+germany
31336,Reicker+Straße+120+01237+Dresden+germany
31337,Max-Planck-Straße+13+99097+Erfurt+germany
31338,Nobelstraße++8+88131+Lindau+Bodensee+germany
31339,Albert-Schweitzer-Str.+10+04317+Leipzig+germany
31340,Zum+Gräfenhof+2+21635+Stade+germany
31341,Höppnerallee++11+21465+Herzogtum+Lauenburg+germany
31342,Wiltbergstr.+50+13125+Berlin+germany
31343,Berliner+Straße+113+99091+Erfurt+germany
31344,Pletschmühlenweg+2-4+50259+Rhein+Erft+germany
31345,Breslauer+Straße+153+47829+Krefeld+germany
31346,Natalissteig+29+13629+Berlin+germany
31347,GRimmaische+Str.+1+04720+Mittelsachsen+germany
31348,Hebelstrasse+19+68789+Rhein+Neckar+germany
31349,Str.+der+Deutschen+Einheit+13+04643+Leipzig+germany
31350,Bochumer+Str.+102+44625+Herne+germany
31351,Rudolf-Marek-Straße+5+09112+Chemnitz+germany
31352,Röntgenstrasse+20+06120+Halle+Saale+germany
31353,Josefinenstr.+4+44791+Bochum+germany
31354,Schlegelstraße+2+04275+Leipzig+germany
31355,Kindleberstr.+62+99867+Gotha+germany
31356,Martzschstraße+10+06686+Burgenlandkreis+germany
31357,Bolivarallee+12+14050+Berlin+germany
31358,Im+Wiesengrund+12+45731+Recklinghausen+germany
31359,Orthstraße+17+09131+Chemnitz+germany
31360,Neuköllner+Straße+1+45699+Recklinghausen+germany
31361,Hans-+Löscher-+Str.+49+39108+Magdeburg+germany
31362,Pfundmayerstraße+21+81375+München+germany
31363,Österreicher+Straße+51+01279+Dresden+germany
31364,Hegel+str+64+55122+Mainz+germany
31365,Ostring+60+02828+Görlitz+germany
31366,Plochinger+Straße+124+73730+Esslingen+germany
31367,Hovelfeldweg+2 a+45739+Recklinghausen+germany
31368,Weinbergstraße+62+76530+Baden+Baden+germany
31369,Freiligrathstr.+19+08058+Zwickau+germany
31370,Erich-Klausener-Str.+48+40474+Düsseldorf+germany
31371,Birkenweg+15+23968+Nordwestmecklenburg+germany
31372,Goldbergstr.+7+81479+München+germany
31373,Curt-Böhme-Straße+25+07552+Gera+germany
31374,Kathenkoppel+29+22159+Hamburg+germany
31375,Mathildenstraße+14+63065+Offenbach+am+Main+germany
31376,Mainzer+Landstr.+341+60326+Frankfurt+am+Main+germany
31377,Obstgarten+10a+87766+Unterallgäu+germany
31378,Huffmannstr.+64+45239+Essen+germany
31379,Sonnenbrink+19+31785+Hameln+Pyrmont+germany
31380,Schießstättenweg+26+85570+Ebersberg+germany
31381,Elberfelder+Str.++26+58285+Ennepe+Ruhr+germany
31382,Drübecker+Weg+2+12059+Berlin+germany
31383,An+der+Alten+Post+2+07743+Jena+germany
31384,Hauptstr.+55+26388+Wilhelmshaven+germany
31385,König-Heinrich-Straße+12+06217+Saalekreis+germany
31386,Gaismannshofstr.+3a+90431+Nürnberg+germany
31387,Berliner+Str.+200+38226+Salzgitter+germany
31388,Amendestraße+81+13409+Berlin+germany
31389,Creuzigerstraße+2+04229+Leipzig+germany
31390,Rathenaustraße+4+12459+Berlin+germany
31391,Lyoner+Straße+30+60528+Frankfurt+am+Main+germany
31392,Bennigsenstraße+5+39114+Magdeburg+germany
31393,Muldeweg+15+38120+Braunschweig+germany
31394,Scheidtweilerstraße+15a+50933+Köln+germany
31395,Dorfstr.+16 C+24366+Rendsburg+Eckernförde+germany
31396,Rosa-Luxemburg-Allee+34 A+14772+Brandenburg+an+der+Havel+germany
31397,Kaagangerstraße+60+82279+Landsberg+am+Lech+germany
31398,Rigaer+Str.+8+06128+Halle+Saale+germany
31399,Rolandstr.+8+42105+Wuppertal+germany
31400,Bockenemer+Straße+12+31167+Hildesheim+germany
31401,Rathausgasse+18+53111+Bonn+germany
31402,Hilbersdorfer+Str.+40+09131+Chemnitz+germany
31403,Leschwitzer+Straße+10+02827+Görlitz+germany
31404,Schöneberger+Str.+16+12163+Berlin+germany
31405,Lausitzer+Str.+58+02828+Görlitz+germany
31406,Johann-Sebastian-Bach-Straße+8+04600+Altenburger+Land+germany
31407,Starnberger+Straße+8+82343+Starnberg+germany
31408,Mendelsohnstr.+13+06844+Dessau+Roßlau+germany
31409,Sundernstraße+43A+31224+Peine+germany
31410,Otto-Hofmann-Str.+22+09122+Chemnitz+germany
31411,Eichenstraße+11+07549+Gera+germany
31412,Achter+de+Stadt+10 B+47669+Kleve+germany
31413,Graf-von-Stauffenberg-Straße+32+49377+Vechta+germany
31414,Apollostraße+1+39118+Magdeburg+germany
31415,Helgolandstraße+00+01097+Dresden+germany
31416,Friedrich-Ebert-Straße+77+47799+Krefeld+germany
31417,Scharrenbroicher+Str.+59+51503+Rheinisch+Bergischer+germany
31418,Cassellastraße+34+60386+Frankfurt+am+Main+germany
31419,Marktstraße+2+09212+Zwickau+germany
31420,Am+Marktplatz+1+09221+Erzgebirgskreis+germany
31421,Burgstraße+56+06749+Anhalt+Bitterfeld+germany
31422,Auf+dem+Kissel+19+19+66482+Zweibrücken+germany
31423,Dörpfeldstraße+5+12489+Berlin+germany
31424,Schleswigerstraße+21-39+90425+Nürnberg+germany
31425,Halterner+Str.+202+45770+Recklinghausen+germany
31426,Steinstraße+2+47798+Krefeld+germany
31427,Am+Stadion+18+06682+Burgenlandkreis+germany
31428,Von-Bodelschwingh-Straße+6+26603+Aurich+germany
31429,Janssenstr.+22+45147+Essen+germany
31430,Am+Holländer+15+04720+Mittelsachsen+germany
31431,Frankenstrasse+355b+45133+Essen+germany
31432,Adenauerplatz+28+53859+Rhein+Sieg+germany
31433,Zur+Dörner+Brücke+49+42283+Wuppertal+germany
31434,Aggerstr.+9+50859+Köln+germany
31435,Hamburger+Straße+45+22926+Stormarn+germany
31436,Heideloffstraße+26+90478+Nürnberg+germany
31437,Bodenbacher+Strasse+100+01237+Dresden+germany
31438,Krumme+Str.+16+32805+Lippe+germany
31439,Millstätter+Straße+9+28359+Bremen+germany
31440,Straße+des+Friedens+72+06217+Saalekreis+germany
31441,Frauenschuhstraße+12+87600+Kaufbeuren+germany
31442,Kirchröthe+64+95511+Bayreuth+germany
31443,Heinrich-Mauersberger-Ring+20a+09212+Zwickau+germany
31444,Schwalbenweg+13+12529+Dahme+Spreewald+germany
31445,Arndtstraße+19+07545+Gera+germany
31446,Siemensstraße+40WE19+04229+Leipzig+germany
31447,Geschwister-Scholl-Str.+2a+04746+Mittelsachsen+germany
31448,Am+Vorhorn+3+39124+Magdeburg+germany
31449,Crellestraße+44+10827+Berlin+germany
31450,Bellerslohstr.+21+58452+Ennepe+Ruhr+germany
31451,Posaer+Straße++8+06712+Burgenlandkreis+germany
31452,Grotenbachstr.+21+51643+Oberbergischer+germany
31453,Werdauer+Straße+43+08459+Zwickau+germany
31454,Franziska-Tiburtius-Straße+6+01326+Dresden+germany
31455,Glatzer+Str.+11+45768+Recklinghausen+germany
31456,Römerstraße+428+47178+Duisburg+germany
31457,Jakobstraße+47+09130+Chemnitz+germany
31458,Segelckestraße+28+27472+Cuxhaven+germany
31459,Waidmannsluster+Damm+172+13469+Berlin+germany
31460,Große+Straße+191a+21075+Hamburg+germany
31461,Am+Nesseufer+10+26789+Leer+germany
31462,Helmstedter+Straße+17+39112+Magdeburg+germany
31463,Landsberger+Str.+5+86343+Augsburg+germany
31464,Kotterheidberg+35+42655+Solingen+germany
31465,Seehäuser+Weg+53+39387+Börde+germany
31466,Jungfernheideweg+41+13629+Berlin+germany
31467,Südstraße+35+47798+Krefeld+germany
31468,Duisburger+Str.+433+45478+Mülheim+an+der+Ruhr+germany
31469,Blasiistr.+17+99734+Nordhausen+germany
31470,Josef-Priller-Str.+25+86159+Augsburg+germany
31471,Oststraße+16+09599+Mittelsachsen+germany
31472,Siemensstr.+13+96257+Lichtenfels+germany
31473,Frankenberger+Str.+49+09131+Chemnitz+germany
31474,Kanzelstraße+34-38+65191+Wiesbaden+germany
31475,Olvenstedter+Straße+41+39108+Magdeburg+germany
31476,In+den+Blumentriften+25+38226+Salzgitter+germany
31477,Spitzenweg+34+63457+Main+Kinzig+germany
31478,Vitus-Bering-Straße+6+17493+Greifswald+germany
31479,Schiersandstr.+12  1.OG+09116+Chemnitz+germany
31480,Weißiger+Hang+5c+01705+Sächsische+Schweiz+Osterzgebirge+germany
31481,Habersaathstraße+15+10115+Berlin+germany
31482,Bahnhofstr.+42+46145+Oberhausen+germany
31483,Hildegardstraße+17+45888+Gelsenkirchen+germany
31484,Bleckenburgstraße+11a+39104+Magdeburg+germany
31485,Welsestraße+2+13057+Berlin+germany
31486,Grunerstraße+35+40239+Düsseldorf+germany
31487,Auf+den+Häfen+12-15+28203+Bremen+germany
31488,Am+Dorfanger+45+16278+Uckermark+germany
31489,Braustr.+11+24113+Kiel+germany
31490,Bertingloherweg+6+58640+Märkischer+germany
31491,Segerstraße+5+04318+Leipzig+germany
31492,Alte+Salzstraße+109+04209+Leipzig+germany
31493,Rostocker+Straße+30+18314+Nordvorpommern+germany
31494,Friedrichstr.+28+06844+Dessau+Roßlau+germany
31495,Gropiusallee+74+06846+Dessau+Roßlau+germany
31496,Helmut-Just-Strasse+3+17036+Neubrandenburg+germany
31497,Kampmannsweg+18+45896+Gelsenkirchen+germany
31498,Boxhagener+Str.+114+10245+Berlin+germany
31499,Orchideenweg+4+99326+Ilm+germany
31500,Wambeler+Hellweg+114+44143+Dortmund+germany
31501,Nordring+2+18182+Bad+Doberan+germany
31502,Camillo-Sitte-Strasse+4+66123+Stadtverband+Saarbrücken+germany
31503,Hölkeskampring+173+44625+Herne+germany
31504,Kottenstraße+6+53179+Bonn+germany
31505,Am+Zinkhüttenplatz+7+47166+Duisburg+germany
31506,Elsingstr.+18+44894+Bochum+germany
31507,Wiesenweg+2+37412+Osterode+am+Harz+germany
31508,Am+Schallacker+9+44263+Dortmund+germany
31509,Havemannstraße+12+12689+Berlin+germany
31510,Pulsnitzer+Straße+15+01454+Bautzen+germany
31511,Stralauer+Platz+38/39+10243+Berlin+germany
31512,Jungstraße+15+60486+Frankfurt+am+Main+germany
31513,Rückertweg+23+95447+Bayreuth+germany
31514,Jakobstraße+25 a/b+52064+Aachen+germany
31515,Nordheimstraße+76+27476+Cuxhaven+germany
31516,Newtonstrasse+6+04600+Altenburger+Land+germany
31517,Gartenstraße+30+72285+Freudenstadt+germany
31518,William-Zipperer-Straße+36+04177+Leipzig+germany
31519,Turmschanzenstraße+12+39114+Magdeburg+germany
31520,Borsteler+Weg+27+21423+Harburg+germany
31521,Grefrather+Weg+5b+50226+Rhein+Erft+germany
31522,Tschirchstraße+32+07546+Gera+germany
31523,Dalbergsweg+28+99084+Erfurt+germany
31524,Hermann-Danz-Straße+15+07629+Saale+Holzland+germany
31525,Elisenstr.++3+45888+Gelsenkirchen+germany
31526,Rathausstraße+41+21502+Herzogtum+Lauenburg+germany
31527,Hartmannstrasse+17+02828+Görlitz+germany
31528,Landwehrstr.+18+47119+Duisburg+germany
31529,Warschauer+Straße+1+06712+Burgenlandkreis+germany
31530,Im+Leichfeld+4+99885+Gotha+germany
31531,Wiedstraße+10+47441+Wesel+germany
31532,Zelterstraße+5+14542+Potsdam+Mittelmark+germany
31533,Bäuminghausstraße+153+45326+Essen+germany
31534,Eckumer+Weg+10+50259+Rhein+Erft+germany
31535,Amselweg+71A+50389+Rhein+Erft+germany
31536,Eifelstr.+49+52068+Aachen+germany
31537,Alfred-Hess-Straße+25+99094+Erfurt+germany
31538,Ütterlingser+Str.+26+58791+Märkischer+germany
31539,Bergstraße+121+44625+Herne+germany
31540,Hans-Sachs-Straße+42+50931+Köln+germany
31541,Helstorfer+Straße+27+30625+Hannover+germany
31542,Luxemburgstraße+20+39114+Magdeburg+germany
31543,Straße+Usti+nad+Labem+165+09119+Chemnitz+germany
31544,Almenweg+3+64756+Odenwaldkreis+germany
31545,Bramfelder+Chaussee+281+22177+Hamburg+germany
31546,Elisabeth-Mara-Straße+7+10117+Berlin+germany
31547,Bassermannstraße+1+39114+Magdeburg+germany
31548,Anhalter+Straße+24a+04129+Leipzig+germany
31549,Frederic-Joliot-Curie-Straße+51+02625+Bautzen+germany
31550,Siemensweg+22+38228+Salzgitter+germany
31551,Römerstrasse+2+53111+Bonn+germany
31552,Septimerstr.+42+13407+Berlin+germany
31553,Apothekerstrasse+18+59755+Hochsauerlandkreis+germany
31554,Vivaldistraße++9+30989+Hannover+germany
31555,Klostergasse+1+01558+Meißen+germany
31556,Flurstr.+12 D+91564+Ansbach+germany
31557,Friedrichstraße+47+47798+Krefeld+germany
31558,Pätzer+Straße+15+12359+Berlin+germany
31559,Emser+Straße+15+51105+Köln+germany
31560,Liebenzeller+Str.+2b+76228+Karlsruhe+germany
31561,Str.+des+Bergmanns+19+39393+Börde+germany
31562,Turmstr.+8+67433+Neustadt+an+der+Weinstraße+germany
31563,Wolfenbütteler+Str.+5+38820+Harz+germany
31564,Heisterholz+16+45329+Essen+germany
31565,Karl-Keil-Straße+16+08060+Zwickau+germany
31566,Max-Schwarze-Straße+14+01796+Sächsische+Schweiz+Osterzgebirge+germany
31567,Parksiedlung+Spruch+3-137+12349+Berlin+germany
31568,Orffstraße+0+80634+München+germany
31569,Posener+Str.+11+29378+Gifhorn+germany
31570,Robert-Havemann-Straße+33+15236+Frankfurt+Oder+germany
31571,Irmgardstrasse+3+45888+Gelsenkirchen+germany
31572,Wilhelmsstraße+40+55128+Mainz+germany
31573,Oberschlesierstr.+8+44141+Dortmund+germany
31574,Taunusstraße+126+61381+Hochtaunuskreis+germany
31575,Ahlweg+9+61352+Hochtaunuskreis+germany
31576,Wiesenstraße+11+55618+Bad+Kreuznach+germany
31577,Orffstr.+24+41564+Neuss+Rhein+germany
31578,Georgenstraße+1+86152+Augsburg+germany
31579,Marianne-Brandt-Str.+3+09112+Chemnitz+germany
31580,Am+Tegeler+Hafen+28F+13507+Berlin+germany
31581,Köln-Mindener-Str.+276+45327+Essen+germany
31582,Burgstraße+1+01445+Meißen+germany
31583,Oberbilker-Allee+265+40227+Düsseldorf+germany
31584,Huttenstraße+2+06842+Dessau+Roßlau+germany
31585,Weißenfelser+Str.+44+06132+Halle+Saale+germany
31586,Unkelstr.+17+45881+Gelsenkirchen+germany
31587,Biesterbergweg+35+32257+Lippe+germany
31588,Wallensteinstraße+129+30459+Hannover+germany
31589,Erich-Weinert-Straße+4+18356+Nordvorpommern+germany
31590,Nürnberger+Str.+47+96114+Bamberg+germany
31591,Schubertstraße+21+09119+Chemnitz+germany
31592,Hohndorfer+Kirchweg+17+09432+Erzgebirgskreis+germany
31593,Trufanowstraße+29+04105+Leipzig+germany
31594,Pirmasenser+Str.+7+13583+Berlin+germany
31595,Schulstraße++27b+09356+Zwickau+germany
31596,Kleistraße+28+59427+Unna+germany
31597,Thumbstraße+75+51103+Köln+germany
31598,Schleswiger+Straße+24+41068+Mönchengladbach+germany
31599,Leipziger+Straße+31+09113+Chemnitz+germany
31600,Kronberger+Straße+10+65812+Main+Taunus+germany
31601,Harthaer+Str.+80+01169+Dresden+germany
31602,Casparistraße+1+09126+Chemnitz+germany
31603,Hebelstraße+20+04177+Leipzig+germany
31604,Gronaustr+114+42285+Wuppertal+germany
31605,Kastanienallee+126+12627+Berlin+germany
31606,Eulenstraße+12+38114+Braunschweig+germany
31607,Littstrasse+9+04103+Leipzig+germany
31608,Kornmarkt+9+46325+Borken+germany
31609,Specken+8+27308+Verden+germany
31610,Kornstraße+142+28201+Bremen+germany
31611,Menzelstrasse+1+33613+Bielefeld+germany
31612,Pinnaudamm+2+25421+Pinneberg+germany
31613,Oeffingener+Str+2+01662+Meißen+germany
31614,Friedrich-Gottlob-Keller-Siedlung+61+09661+Mittelsachsen+germany
31615,Poststr.+7+41516+Neuss+Rhein+germany
31616,Joliot-Curie-Straße+18+07548+Gera+germany
31617,Neuer+Graben+17+49074+Osnabrück+germany
31618,Halfmannstr.+31+45968+Recklinghausen+germany
31619,Heinrich-Heine-Straße+36+04600+Altenburger+Land+germany
31620,Friedrichstraße+6+09212+Zwickau+germany
31621,Hauptstraße+38+01589+Meißen+germany
31622,Heinrichstraße+18+16278+Uckermark+germany
31623,Barbarossastr.+73+09112+Chemnitz+germany
31624,Heinrich-von-Stephan+Str.+41+18437+Stralsund+germany
31625,Haydnstraße+2+01917+Bautzen+germany
31626,Lennéstraße+25+40477+Düsseldorf+germany
31627,Kastanienweg+5+65760+Main+Taunus+germany
31628,Krumme+Gasse+2+99880+Gotha+germany
31629,Brauckweg+4+45739+Recklinghausen+germany
31630,Nonnengasse+5+99084+Erfurt+germany
31631,Basteistr.+3+04207+Leipzig+germany
31632,Schrödelstr.+2+08529+Plauen+germany
31633,Ringstraße+19+04209+Leipzig+germany
31634,Bertha-von-Suttner-Str.+28+24782+Rendsburg+Eckernförde+germany
31635,Auf+dem+Stein+50+88662+Bodenseekreis+germany
31636,Wilhelm-Liebknecht-Straße+68+08451+Zwickau+germany
31637,Markt+20+09603+Mittelsachsen+germany
31638,Hegelstraße+64+19063+Schwerin+germany
31639,Steinstraße+24+04275+Leipzig+germany
31640,Johann-Geismann-Str.+4+90763+Fürth+germany
31641,Vereinsstr.+10+44793+Bochum+germany
31642,Lotter+Kirchweg+76+49078+Osnabrück+germany
31643,Domstag+58+24340+Rendsburg+Eckernförde+germany
31644,Ostendstraße+27+12459+Berlin+germany
31645,Am+Bahnhof+40+36037+Fulda+germany
31646,Neckarauer+Straße+83+68199+Mannheim+germany
31647,Harkortweg++9 a-c+58332+Ennepe+Ruhr+germany
31648,Cent+9+36341+Vogelsbergkreis+germany
31649,Weißer+Hauptstraße+104+50999+Köln+germany
31650,Am+Schulhof+5+96465+Coburg+germany
31651,Lessingstraße++4+04651+Leipzig+germany
31652,Vahrenwalder+Straße+60+30165+Hannover+germany
31653,Klein-Woltersdorfer+Damm+16+16928+Prignitz+germany
31654,Rudolf+Breitscheid+19+35037+Marburg+Biedenkopf+germany
31655,Schleidener+Str.+158+52076+Aachen+germany
31656,Lindenstraße+29a+12555+Berlin+germany
31657,Ricarda-Huch-Str.+6  2.OG+09116+Chemnitz+germany
31658,Ida-Dehmel-Ring+72+68309+Mannheim+germany
31659,Heinrichstraße+31+38106+Braunschweig+germany
31660,Danziger+Str.+5 b+29345+Celle+germany
31661,Im+Heerdter+Feld+3+40549+Düsseldorf+germany
31662,Schmiedeberger+Strasse+11 b+04849+Nordsachsen+germany
31663,Ludwig-Kirsch-Straße+30+09130+Chemnitz+germany
31664,Nelkenstraße+8+30900+Hannover+germany
31665,Theodor-Körner-Straße++12+19258+Ludwigslust+germany
31666,Coimbraer+Str.+38+06132+Halle+Saale+germany
31667,Pappelallee+25+10437+Berlin+germany
31668,Junkernufer+3+58644+Märkischer+germany
31669,Wilhelmsplatz+9a+02826+Görlitz+germany
31670,Gnadauer+Str.+3+39104+Magdeburg+germany
31671,Packhofstraße+11+08393+Zwickau+germany
31672,Forststraße+18 B+08261+Vogtlandkreis+germany
31673,Gabelsbergerstraße+12+35398+Gießen+germany
31674,Eichendorffstr.+30+52249+Aachen+germany
31675,Hütte+15+56379+Rhein+Lahn+germany
31676,Breite+Str.+17+04720+Mittelsachsen+germany
31677,Werthstraße+64+47119+Duisburg+germany
31678,Wintgensstr.+18+47058+Duisburg+germany
31679,Außenring+19+08132+Zwickau+germany
31680,Großenhainer+Str.+203+01129+Dresden+germany
31681,Böllberger+Weg+21+06110+Halle+Saale+germany
31682,Lindauer+Straße+13 b+87435+Kempten+Allgäu+germany
31683,Elisabeth-Blaustein-Str.+15+68309+Mannheim+germany
31684,Neuer+Weg+2+09526+Erzgebirgskreis+germany
31685,Selliner+Straße+38+04207+Leipzig+germany
31686,Casinostraße+3+58452+Ennepe+Ruhr+germany
31687,Neundorfer+Straße+168+08523+Plauen+germany
31688,Brüssower+Allee+22+17291+Uckermark+germany
31689,Muldestraße+04+06122+Halle+Saale+germany
31690,Trakehner+Str.+25+50735+Köln+germany
31691,Rogätzer+Straße+80+39106+Magdeburg+germany
31692,Am+Forstacker+22+13587+Berlin+germany
31693,Friedrichsdorfer+Straße+18+33659+Bielefeld+germany
31694,Landsberger+Straße+88+04157+Leipzig+germany
31695,Gartenstraße+8+39114+Magdeburg+germany
31696,Adam-Olearius-Straße+4+06449+Salzlandkreis+germany
31697,Otterloher+Straße+99+82054+München+germany
31698,Wasserhofstr+22+60599+Frankfurt+am+Main+germany
31699,Guardinistraße+137+81375+München+germany
31700,Feuerbachstrasse+44+60325+Frankfurt+am+Main+germany
31701,Lange+Str.+62+58089+Hagen+germany
31702,Französische+Straße+56-60+10117+Berlin+germany
31703,Münsterstraße+35-37+48268+Steinfurt+germany
31704,Hans-Beimler+Weg+2+36433+Wartburgkreis+germany
31705,Am+Schwanenplatz+1+59368+Unna+germany
31706,Hans-Böckler-Str.+14+59192+Unna+germany
31707,Carmerstr.+52+45147+Essen+germany
31708,Steigerstraße+4+06295+Mansfeld+Südharz+germany
31709,Steimelerstraße+17+57614+Altenkirchen+Westerwald+germany
31710,Robertstr.+68+44809+Bochum+germany
31711,Schlesische+Str.+53+02828+Görlitz+germany
31712,Reuningstr.+7+01169+Dresden+germany
31713,Weißenburgstr.+22+47229+Duisburg+germany
31714,Löhestraße+11+39539+Stendal+germany
31715,Ernst-Thälmann-Straße+33+16559+Oberhavel+germany
31716,Otto-Uhlig-Straße+11+01454+Bautzen+germany
31717,De-Smit-Straße+8/201+07545+Gera+germany
31718,Rosa+-+Luxemburg+-+Ring+18+07586+Greiz+germany
31719,Vogelsangstrasse+62+72461+Zollernalbkreis+germany
31720,Wolfgangstraße+32+06844+Dessau+Roßlau+germany
31721,Alte+Holstenstraße+20+21031+Hamburg+germany
31722,Reichswehrstrasse+34+44143+Dortmund+germany
31723,Abteisiedlung+7+09353+Zwickau+germany
31724,Mainzerstr.+0+55422+Mainz+Bingen+germany
31725,Schwanitzstraße+6+98693+Ilm+germany
31726,Harmoniestraße+51+38820+Harz+germany
31727,Walther-Rathenau-Straße++57+39104+Magdeburg+germany
31728,Schustergasse+19+97340+Kitzingen+germany
31729,Bahnhofstraße+20+71732+Ludwigsburg+germany
31730,Pestalozzistraße+17+61231+Wetteraukreis+germany
31731,Kappelerstr+193+40599+Düsseldorf+germany
31732,Altchemnitzer+Straße+70+09120+Chemnitz+germany
31733,Gerwigstraße+15+68305+Mannheim+germany
31734,Kesselgasse+2+53111+Bonn+germany
31735,Semliner+Straße+133+14712+Havelland+germany
31736,Emsring+13+44628+Herne+germany
31737,Weide+36+51503+Rheinisch+Bergischer+germany
31738,Leonhard-Frank-Straße+11a+04318+Leipzig+germany
31739,Im+Haindell+109+65843+Main+Taunus+germany
31740,Am+Anger+18-22+85072+Eichstätt+germany
31741,Heilgeiststrasse+16+18439+Stralsund+germany
31742,Friedrich-Schlie-Str.+1-29+19061+Schwerin+germany
31743,Kalugaer+Straße+29+98724+Sonneberg+germany
31744,Carl-Diem-Str.+3+78120+Schwarzwald+Baar+germany
31745,Bahnhofstraße+18+01829+Sächsische+Schweiz+Osterzgebirge+germany
31746,Barbarastrasse+2+50735+Köln+germany
31747,An+der+Trave+59+23795+Segeberg+germany
31748,Bäuminghausstraße+153+45326+Essen+germany
31749,Schwarzwaldstr.+25+60528+Frankfurt+am+Main+germany
31750,Huttenstraße+51+06110+Halle+Saale+germany
31751,Dedestraße+17+26135+Oldenburg+Oldenburg+germany
31752,Ulmenstr.+1+59557+Soest+germany
31753,Gitschiner+Str.+38+10969+Berlin+germany
31754,Geibelstr.+14+09127+Chemnitz+germany
31755,Kirchstraße++36+97209+Würzburg+germany
31756,Eckersbacher+Höhe+63+08066+Zwickau+germany
31757,Friesenweg++160+08529+Plauen+germany
31758,Yorckstraße+58+09130+Chemnitz+germany
31759,Zum+Kleingartenpark+36+04318+Leipzig+germany
31760,Marienstraße+91+30171+Hannover+germany
31761,Nürnberger+Str.++36+01187+Dresden+germany
31762,Siemensstraße+21+90459+Nürnberg+germany
31763,Marktstr.+19+45964+Recklinghausen+germany
31764,Niederkirchner+Straße+9+04107+Leipzig+germany
31765,Bahnhofstr.+33+21423+Harburg+germany
31766,In+der+Kuhtrift+32+41541+Neuss+Rhein+germany
31767,Ellerkirchstraße+5+40229+Düsseldorf+germany
31768,Kaldekirche+28+45309+Essen+germany
31769,Schönauerweg+12+94036+Passau+germany
31770,Bismarckstr.+44+08527+Plauen+germany
31771,Uhlandstraße+27+09130+Chemnitz+germany
31772,Hauptstraße+45+21614+Stade+germany
31773,Dürerstraße+9+08527+Plauen+germany
31774,Imbrosweg+72+12109+Berlin+germany
31775,Hafenstraße+123+27576+Bremerhaven+germany
31776,Herbartstraße+16+14057+Berlin+germany
31777,Edvard-Grieg-Weg+11+06124+Halle+Saale+germany
31778,Kavalierstr.+73+06844+Dessau+Roßlau+germany
31779,Greifweg+154+40549+Düsseldorf+germany
31780,Rudolf-Breitscheid-Straße+64+15366+Märkisch+Oderland+germany
31781,Solmsstrasse+5+65189+Wiesbaden+germany
31782,Am+Schwalbanger+3c+86633+Neuburg+Schrobenhausen+germany
31783,Lucas-+Cranach-+Ring+12+06869+Wittenberg+germany
31784,Hohenstaufenring+116a+32427+Minden+Lübbecke+germany
31785,Wörthstr.+29+45138+Essen+germany
31786,Jan-Skala-Straße+1+01917+Bautzen+germany
31787,Hansastraße+116+41066+Mönchengladbach+germany
31788,Skarbinastr.+78+12309+Berlin+germany
31789,Hohe+Str.+7+47051+Duisburg+germany
31790,Am+Kreuzesteine+2+37120+Göttingen+germany
31791,Am+Engelnberg+30+42107+Wuppertal+germany
31792,Rutenkamp+4+24537+Neumünster+germany
31793,Saarstr.+18+45663+Recklinghausen+germany
31794,Ernst-Mucke-Straße+2+03044+Cottbus+germany
31795,Friedensallee+17+63263+Frankfurt+am+Main+germany
31796,Leipziger+Straße+25 A+08056+Zwickau+germany
31797,Redtenbacher+Straße+3+45133+Essen+germany
31798,Toosbüystraße+4+24939+Flensburg+germany
31799,Zwickauer+Straße+73+04277+Leipzig+germany
31800,Weiherstraße+9+66914+Kusel+germany
31801,Raiffeisenstraße+22+39112+Magdeburg+germany
31802,Kanzlerstr.++78+09112+Chemnitz+germany
31803,Große-Brahm-Straße+20b+39288+Jerichower+Land+germany
31804,Siemersplatz+1+22529+Hamburg+germany
31805,Cunnersdorfer+Straße+32+04318+Leipzig+germany
31806,Alte+Kemmenauer+Straße+37+56130+Rhein+Lahn+germany
31807,Dr.-Otto-Just-Straße+18+08468+Vogtlandkreis+germany
31808,Am+Schlagbaum+54a+38678+Goslar+germany
31809,Auf+dem+Sand+3+56182+Mayen+Koblenz+germany
31810,Dechant-Greff-Straße+5+54411+Trier+Saarburg+germany
31811,Paul-Gruner-Straße+16+04107+Leipzig+germany
31812,Fischerstraße+1+09599+Mittelsachsen+germany
31813,Tsingtauer+Straße+47b+81827+München+germany
31814,Alte+Jülicher+Str.+94+52353+Düren+germany
31815,Rubensweg+13+40724+Mettmann+germany
31816,Scharfensteiner+Str.+5+09120+Chemnitz+germany
31817,Liebknechtstraße+66+39110+Magdeburg+germany
31818,Tschaikowskistraße+26+04105+Leipzig+germany
31819,Zechenweg+36+44649+Herne+germany
